source,target,value
"2212","4229","1"
"2335","4232","1"
"191","4233","1"
"2138","4235","1"
"6614","4235","1"
"2504","4238","1"
"2376","4239","1"
"2995","4278","1"
"8160","4282","1"
"2264","4284","1"
"5015","4285","1"
"2292","4286","1"
"1578","4287","1"
"1578","4290","1"
"4334","4292","1"
"672","4292","1"
"2342","4292","1"
"1844","4298","1"
"2285","4299","1"
"2229","4299","1"
"4291","4300","1"
"324","4301","1"
"4312","4307","1"
"789","4311","1"
"4814","4318","1"
"1599","4318","1"
"1599","4321","1"
"2271","4321","1"
"1959","4326","1"
"1684","4326","1"
"2345","4326","1"
"2576","4327","1"
"2331","4327","1"
"2342","4329","1"
"2469","4330","1"
"672","4332","1"
"180","4334","1"
"2524","4334","1"
"2532","4335","1"
"2440","4336","1"
"4977","4452","1"
"2959","4452","1"
"4919","4452","1"
"1176","4455","1"
"1246","4466","1"
"1578","4490","1"
"9273","4493","1"
"4597","4596","1"
"4667","4603","1"
"1064","4603","1"
"9076","4600","1"
"7132","4600","1"
"5740","4601","1"
"8547","4526","1"
"4912","4540","1"
"5266","4630","1"
"8647","4634","1"
"2879","4635","1"
"5037","4660","1"
"940","4660","1"
"263","4654","1"
"5840","4655","1"
"1031","4667","1"
"4654","4667","1"
"4635","4646","1"
"3278","4657","1"
"5906","4657","1"
"1753","4672","1"
"4185","4713","1"
"5740","4664","1"
"1060","4721","1"
"4881","4721","1"
"2927","4721","1"
"4946","4791","1"
"4597","4730","1"
"5037","4733","1"
"940","4733","1"
"1578","4735","1"
"2499","4812","1"
"4720","4812","1"
"1593","4813","1"
"1544","4813","1"
"1686","4818","1"
"1678","4819","1"
"1681","4819","1"
"2732","4796","1"
"1678","4798","1"
"1593","4798","1"
"1702","4798","1"
"4281","4799","1"
"4281","4799","1"
"1702","4799","1"
"1593","4801","1"
"4799","4801","1"
"1702","4801","1"
"4270","4801","1"
"2093","4801","1"
"4820","4820","1"
"2495","4820","1"
"6617","4820","1"
"8150","4803","1"
"6682","4804","1"
"8288","4805","1"
"819","4822","1"
"2031","4824","1"
"6766","4826","1"
"9949","4921","1"
"9950","4921","1"
"9951","4921","1"
"9952","4921","1"
"9953","4921","1"
"9954","4921","1"
"9955","4921","1"
"9956","4921","1"
"9957","4921","1"
"9958","4921","1"
"9959","4921","1"
"9960","4921","1"
"9961","4921","1"
"9962","4921","1"
"9971","4922","1"
"9972","4922","1"
"9973","4922","1"
"9974","4922","1"
"9975","4922","1"
"9976","4922","1"
"9977","4922","1"
"9978","4922","1"
"9979","4922","1"
"9980","4922","1"
"9981","4922","1"
"9982","4922","1"
"9983","4922","1"
"9984","4922","1"
"8129","4930","1"
"1612","4930","1"
"4900","4932","1"
"4941","4937","1"
"4927","4940","1"
"2969","4945","1"
"9984","4946","1"
"1547","4947","1"
"682","2739","1"
"757","2739","1"
"327","2739","1"
"1578","4848","1"
"9959","4879","1"
"4955","4955","1"
"4893","4955","1"
"2973","4958","1"
"344","4958","1"
"4792","4968","1"
"1578","2741","1"
"2342","2741","1"
"1252","4978","1"
"2970","4982","1"
"4251","4991","1"
"2424","4995","1"
"688","4995","1"
"4345","4995","1"
"2741","5008","1"
"4161","5010","1"
"334","5011","1"
"4161","5011","1"
"5944","5014","1"
"8139","5015","1"
"4825","5015","1"
"8136","5017","1"
"3005","5029","1"
"710","5034","1"
"2504","5034","1"
"1612","5034","1"
"1683","5034","1"
"627","5034","1"
"803","5034","1"
"1578","5037","1"
"9978","5041","1"
"1176","5060","1"
"8154","5060","1"
"4726","5060","1"
"5038","5087","1"
"3044","5091","1"
"851","5092","1"
"2733","5092","1"
"5095","5095","1"
"2435","5100","1"
"4631","5104","1"
"5132","5106","1"
"1254","5110","1"
"1602","5110","1"
"5113","5115","1"
"5132","5142","1"
"5106","5142","1"
"1254","5155","1"
"9984","5155","1"
"5100","5161","1"
"2435","5163","1"
"104","5166","1"
"4951","5168","1"
"1128","5176","1"
"1128","5178","1"
"1620","5188","1"
"8169","5193","1"
"5166","2735","1"
"1615","5210","1"
"8144","5216","1"
"1252","5219","1"
"1654","5219","1"
"1292","5225","1"
"1686","5231","1"
"5236","5241","1"
"5266","5247","1"
"5138","5247","1"
"5266","5248","1"
"4174","5252","1"
"3134","5259","1"
"1635","5259","1"
"8173","5266","1"
"2967","5270","1"
"897","5273","1"
"5193","5281","1"
"8169","5281","1"
"9959","5282","1"
"8136","5307","1"
"4796","5292","1"
"5298","5300","1"
"9127","5300","1"
"8220","5286","1"
"5276","5286","1"
"312","5315","1"
"3170","5343","1"
"8216","5352","1"
"4274","5358","1"
"4328","5358","1"
"2154","5358","1"
"2393","5359","1"
"2435","5359","1"
"2075","5359","1"
"851","5364","1"
"2733","5364","1"
"4945","5364","1"
"5471","5368","1"
"1724","5368","1"
"1195","5398","1"
"5394","5400","1"
"1724","5411","1"
"5418","5420","1"
"5421","5421","1"
"8169","5427","1"
"2226","5428","1"
"1870","5428","1"
"1578","5435","1"
"4265","5438","1"
"3115","5453","1"
"2114","5459","1"
"5467","5466","1"
"5179","5466","1"
"1578","5467","1"
"6572","5467","1"
"3262","5473","1"
"3336","5473","1"
"5473","5473","1"
"5014","5475","1"
"4274","5485","1"
"9163","5486","1"
"2741","5486","1"
"5379","5494","1"
"3012","5505","1"
"9984","5505","1"
"1050","5506","1"
"4922","5511","1"
"9983","5511","1"
"1923","5512","1"
"4244","5512","1"
"1695","5518","1"
"5267","5518","1"
"2985","5534","1"
"1688","5534","1"
"334","5535","1"
"6361","5544","1"
"5467","5561","1"
"2937","5563","1"
"8195","5563","1"
"1753","5563","1"
"2059","5566","1"
"2116","5570","1"
"4639","5583","1"
"8104","5593","1"
"4288","5595","1"
"8514","5611","1"
"7896","5614","1"
"5620","5620","1"
"1560","5625","1"
"8144","5626","1"
"4900","5626","1"
"5267","5640","1"
"6180","5644","1"
"9971","5646","1"
"9974","5646","1"
"9979","5646","1"
"9983","5646","1"
"9984","5646","1"
"601","5654","1"
"1578","5654","1"
"4377","5672","1"
"8144","5672","1"
"6361","5674","1"
"5234","5692","1"
"8207","5692","1"
"4328","5693","1"
"5358","5693","1"
"5707","5707","1"
"6388","5709","1"
"4377","5713","1"
"146","5720","1"
"8525","5720","1"
"4286","5720","1"
"800","5720","1"
"4271","5723","1"
"325","5724","1"
"4955","5726","1"
"5014","5727","1"
"4825","5727","1"
"1686","5842","1"
"5038","5844","1"
"5844","5844","1"
"8449","5733","1"
